 # p_occup         n= 7          n= 9          n=11          n=13 
  0.615582  0.7656000000  0.9310000000  0.9976000000  1.0000000000
  0.616224  0.7679000000  0.9289000000  0.9981000000  1.0000000000
  0.616873  0.7760000000  0.9367000000  0.9981000000  1.0000000000
  0.617528  0.7680000000  0.9414000000  0.9982000000  1.0000000000
  0.618190  0.7976000000  0.9428000000  0.9984000000  1.0000000000
  0.618859  0.7851000000  0.9443000000  0.9992000000  1.0000000000
  0.619535  0.7990000000  0.9506000000  0.9989000000  1.0000000000
  0.620220  0.7981000000  0.9487000000  0.9995000000  1.0000000000
  0.620912  0.7933000000  0.9578000000  0.9995000000  1.0000000000
  0.621612  0.8093000000  0.9566000000  0.9997000000  1.0000000000
  0.622321  0.8186000000  0.9598000000  0.9993000000  1.0000000000
  0.623039  0.8171000000  0.9629000000  0.9999000000  1.0000000000
  0.623766  0.8172000000  0.9656000000  0.9996000000  1.0000000000
  0.624502  0.8259000000  0.9683000000  0.9996000000  1.0000000000
  0.625249  0.8290000000  0.9697000000  1.0000000000  1.0000000000
  0.626006  0.8253000000  0.9687000000  0.9999000000  1.0000000000
  0.626775  0.8352000000  0.9754000000  1.0000000000  1.0000000000
  0.627554  0.8431000000  0.9753000000  0.9998000000  1.0000000000
  0.628346  0.8386000000  0.9774000000  0.9999000000  1.0000000000
  0.629150  0.8527000000  0.9809000000  0.9999000000  1.0000000000
  0.629967  0.8484000000  0.9816000000  1.0000000000  1.0000000000
  0.630797  0.8600000000  0.9834000000  1.0000000000  1.0000000000
  0.631642  0.8705000000  0.9852000000  1.0000000000  1.0000000000
  0.632502  0.8708000000  0.9876000000  1.0000000000  1.0000000000
  0.633378  0.8773000000  0.9875000000  1.0000000000  1.0000000000
  0.634270  0.8769000000  0.9891000000  1.0000000000  1.0000000000
  0.635179  0.8834000000  0.9891000000  1.0000000000  1.0000000000
  0.636106  0.8905000000  0.9898000000  1.0000000000  1.0000000000
  0.637053  0.8909000000  0.9914000000  1.0000000000  1.0000000000
  0.638020  0.8900000000  0.9922000000  1.0000000000  1.0000000000
  0.639009  0.9020000000  0.9931000000  1.0000000000  1.0000000000
  0.640020  0.9027000000  0.9954000000  1.0000000000  1.0000000000
  0.641055  0.9055000000  0.9947000000  1.0000000000  1.0000000000
  0.642115  0.9144000000  0.9954000000  1.0000000000  1.0000000000
  0.643202  0.9158000000  0.9958000000  1.0000000000  1.0000000000
  0.644319  0.9210000000  0.9960000000  1.0000000000  1.0000000000
  0.645465  0.9176000000  0.9968000000  1.0000000000  1.0000000000
  0.646645  0.9323000000  0.9980000000  1.0000000000  1.0000000000
  0.647859  0.9307000000  0.9987000000  1.0000000000  1.0000000000
  0.649111  0.9297000000  0.9982000000  1.0000000000  1.0000000000
  0.650403  0.9389000000  0.9983000000  1.0000000000  1.0000000000
  0.651739  0.9386000000  0.9989000000  1.0000000000  1.0000000000
  0.653122  0.9440000000  0.9992000000  1.0000000000  1.0000000000
  0.654555  0.9514000000  0.9993000000  1.0000000000  1.0000000000
  0.656044  0.9484000000  0.9993000000  1.0000000000  1.0000000000
  0.657594  0.9555000000  0.9992000000  1.0000000000  1.0000000000
  0.659210  0.9596000000  0.9996000000  1.0000000000  1.0000000000
  0.660899  0.9621000000  0.9999000000  1.0000000000  1.0000000000
  0.662668  0.9629000000  0.9998000000  1.0000000000  1.0000000000
  0.664527  0.9701000000  0.9998000000  1.0000000000  1.0000000000
  0.666487  0.9731000000  0.9997000000  1.0000000000  1.0000000000
  0.668559  0.9726000000  0.9999000000  1.0000000000  1.0000000000
  0.670758  0.9759000000  1.0000000000  1.0000000000  1.0000000000
  0.673104  0.9798000000  0.9998000000  1.0000000000  1.0000000000
  0.675618  0.9796000000  1.0000000000  1.0000000000  1.0000000000
  0.678328  0.9850000000  1.0000000000  1.0000000000  1.0000000000
  0.681269  0.9885000000  1.0000000000  1.0000000000  1.0000000000
  0.684488  0.9910000000  1.0000000000  1.0000000000  1.0000000000
  0.688045  0.9934000000  1.0000000000  1.0000000000  1.0000000000
  0.692025  0.9930000000  1.0000000000  1.0000000000  1.0000000000
  0.696546  0.9952000000  1.0000000000  1.0000000000  1.0000000000
  0.701787  0.9972000000  1.0000000000  1.0000000000  1.0000000000
  0.708031  0.9976000000  1.0000000000  1.0000000000  1.0000000000
  0.715770  0.9987000000  1.0000000000  1.0000000000  1.0000000000
  0.725981  0.9992000000  1.0000000000  1.0000000000  1.0000000000
  0.741089  0.9999000000  1.0000000000  1.0000000000  1.0000000000
  0.771055  0.9999000000  1.0000000000  1.0000000000  1.0000000000
  1.000000  1.0000000000  1.0000000000  1.0000000000  1.0000000000
